AverageTemperature,City,Year,Month
26.688,Acapulco,1876,9
26.551,Acapulco,1876,10
25.492,Acapulco,1876,11
23.604,Acapulco,1876,12
24.188,Acapulco,1877,1
23.712,Acapulco,1877,2
23.63,Acapulco,1877,3
24.256,Acapulco,1877,4
26.094,Acapulco,1877,5
27.1,Acapulco,1877,6
27.752,Acapulco,1877,7
28.145,Acapulco,1877,8
27.465,Acapulco,1877,9
27.916,Acapulco,1877,10
26.389,Acapulco,1877,11
25.598,Acapulco,1877,12
25.023,Acapulco,1878,1
24.587,Acapulco,1878,2
24.658,Acapulco,1878,3
25.878,Acapulco,1878,4
27.238,Acapulco,1878,5
28.515,Acapulco,1878,6
27.997,Acapulco,1878,7
27.255,Acapulco,1878,8
26.984,Acapulco,1878,9
27.031,Acapulco,1878,10
26.864,Acapulco,1878,11
25.395,Acapulco,1878,12
25.23,Acapulco,1879,1
23.667,Acapulco,1879,2
23.518,Acapulco,1879,3
24.489,Acapulco,1879,4
26.121,Acapulco,1879,5
26.658,Acapulco,1879,6
27.48,Acapulco,1879,7
26.999,Acapulco,1879,8
26.261,Acapulco,1879,9
26.13,Acapulco,1879,10
25.982,Acapulco,1879,11
25.846,Acapulco,1879,12
24.405,Acapulco,1880,1
24.106,Acapulco,1880,2
24.542,Acapulco,1880,3
24.302,Acapulco,1880,4
26.585,Acapulco,1880,5
27.021,Acapulco,1880,6
27.314,Acapulco,1880,7
27.038,Acapulco,1880,8
26.512,Acapulco,1880,9
26.259,Acapulco,1880,10
27.029,Acapulco,1880,11
25.416,Acapulco,1880,12
23.963,Acapulco,1881,1
23.75,Acapulco,1881,2
24.281,Acapulco,1881,3
24.798,Acapulco,1881,4
26.257,Acapulco,1881,5
27.09,Acapulco,1881,6
27.613,Acapulco,1881,7
27.176,Acapulco,1881,8
26.731,Acapulco,1881,9
26.876,Acapulco,1881,10
26.936,Acapulco,1881,11
25.595,Acapulco,1881,12
25.075,Acapulco,1882,1
24.722,Acapulco,1882,2
24.679,Acapulco,1882,3
24.902,Acapulco,1882,4
25.431,Acapulco,1882,5
26.862,Acapulco,1882,6
27.226,Acapulco,1882,7
26.557,Acapulco,1882,8
26.607,Acapulco,1882,9
26.721,Acapulco,1882,10
25.527,Acapulco,1882,11
24.461,Acapulco,1882,12
23.9,Acapulco,1883,1
23.475,Acapulco,1883,2
23.118,Acapulco,1883,3
24.388,Acapulco,1883,4
25.202,Acapulco,1883,5
26.69,Acapulco,1883,6
26.8,Acapulco,1883,7
26.617,Acapulco,1883,8
26.331,Acapulco,1883,9
26.6,Acapulco,1883,10
26.118,Acapulco,1883,11
25.027,Acapulco,1883,12
23.614,Acapulco,1884,1
23.356,Acapulco,1884,2
23.919,Acapulco,1884,3
24.378,Acapulco,1884,4
24.397,Acapulco,1884,5
27.363,Acapulco,1884,6
27.004,Acapulco,1884,7
26.539,Acapulco,1884,8
26.664,Acapulco,1884,9
26.164,Acapulco,1884,10
25.838,Acapulco,1884,11
25.245,Acapulco,1884,12
24.303,Acapulco,1885,1
23.785,Acapulco,1885,2
24.357,Acapulco,1885,3
23.853,Acapulco,1885,4
25.606,Acapulco,1885,5
27.231,Acapulco,1885,6
27.113,Acapulco,1885,7
26.814,Acapulco,1885,8
26.808,Acapulco,1885,9
26.4,Acapulco,1885,10
26.06,Acapulco,1885,11
25.404,Acapulco,1885,12
24.253,Acapulco,1886,1
23.399,Acapulco,1886,2
24.98,Acapulco,1886,3
24.71,Acapulco,1886,4
26.259,Acapulco,1886,5
27.115,Acapulco,1886,6
27.524,Acapulco,1886,7
27.24,Acapulco,1886,8
26.688,Acapulco,1886,9
26.39,Acapulco,1886,10
25.584,Acapulco,1886,11
24.364,Acapulco,1886,12
23.478,Acapulco,1887,1
23.844,Acapulco,1887,2
23.249,Acapulco,1887,3
23.695,Acapulco,1887,4
25.716,Acapulco,1887,5
26.584,Acapulco,1887,6
26.884,Acapulco,1887,7
26.845,Acapulco,1887,8
26.509,Acapulco,1887,9
25.656,Acapulco,1887,10
25.945,Acapulco,1887,11
25.186,Acapulco,1887,12
24.152,Acapulco,1888,1
23.587,Acapulco,1888,2
23.337,Acapulco,1888,3
23.872,Acapulco,1888,4
25.366,Acapulco,1888,5
26.435,Acapulco,1888,6
27.178,Acapulco,1888,7
27.15,Acapulco,1888,8
26.036,Acapulco,1888,9
26.766,Acapulco,1888,10
26.317,Acapulco,1888,11
25.111,Acapulco,1888,12
24.982,Acapulco,1889,1
24.973,Acapulco,1889,2
23.718,Acapulco,1889,3
24.608,Acapulco,1889,4
26.134,Acapulco,1889,5
28.08,Acapulco,1889,6
27.731,Acapulco,1889,7
26.961,Acapulco,1889,8
26.76,Acapulco,1889,9
25.93,Acapulco,1889,10
26.247,Acapulco,1889,11
24.949,Acapulco,1889,12
25.202,Acapulco,1890,1
23.68,Acapulco,1890,2
22.862,Acapulco,1890,3
24.783,Acapulco,1890,4
25.93,Acapulco,1890,5
26.491,Acapulco,1890,6
27.141,Acapulco,1890,7
26.607,Acapulco,1890,8
26.297,Acapulco,1890,9
26.161,Acapulco,1890,10
25.64,Acapulco,1890,11
24.657,Acapulco,1890,12
24.381,Acapulco,1891,1
24.397,Acapulco,1891,2
23.65,Acapulco,1891,3
23.689,Acapulco,1891,4
25.446,Acapulco,1891,5
26.653,Acapulco,1891,6
26.997,Acapulco,1891,7
